Dataset,DATASET_ID,PLATFORM,TITLE,SUMMARY,TAXON,DATASET_TYPE,PUBMED,Website,Sample Number,AGE,ALCOHOL,RECURRENT,OS,Grade,HPV+,HPV-,Race,Gender,Smoking,Stage M,Stage N,Stage T,TUMOR_SITE|HYPOPHARYNX,TUMOR_SITE|LARYNX,TUMOR_SITE|ORAL CAVITY,TUMOR_SITE|OROPHARYNX,Non_empty,Info
GSE2837,200002837,[U133_X3P] Affymetrix Human X3P Array;,Survival Prediction of HNSCC using FFPE samples,Recently it was shown that gene expression signatures generated from DNA microarray analyses have promise as biomarkers of clinical outcome and that the molecular characteristics of tumors could be elucidated. Through this study we have determined a high-risk signature for recurrence as a prognostic biomarker using formalin-fixed HNSCC tumors and tested the results to an independent data set obtained from fresh frozen tumors as a comparison. Also we have shown the genes that are involved in epithelial to mesenchymal transition and nuclear factor-_B signaling deregulation are the most prominent molecular characteristics of the high-risk tumors. Forty samples including 34 formalin-fixed tissues and 6 matched frozen tissues from 29 HNSCC patients were analyzed for gene expression. The formalin-fixed tumors were classified based on their gene expression by intrinsic analysis and the intrinsic gene list was tested on the classification of previously published 60 frozen HNSCC tumors which highly correlated. Based on the molecular classification a 75-gene list that is predictive of high-risk for recurrence was determined by training on the formalin-fixed tumor set and tested on the independent frozen tumor set. The difference in recurrence-free survival (RFS) between the high-risk vs. low-risk groups in the training and test sets were statistically significant (Log-rank test p=0.002 and p=0.03 respectively). Also the gene expression data was interrogated using Gene Set Enrichment Analysis to determine functional significance. The most significant sets of genes that are enriched in the high-risk tumors were genes involving epithelial to mesenchymal transition (EMT) NF-_B activation and cell adhesion. In conclusion global gene expression analysis is feasible using formalin-fixed tissue and the data from different sample preparations and array platforms can be reliably combined for analyses. The 75-gene list can be utilized as a prognostic biomarker of recurrence and the molecular characteristics of EMT and NF-_B activation can be targeted as the novel therapy in the identified high-risk patients.  Keywords: FFPE survival analysis,Homo sapiens,Microarray,16912200,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2837,40,,,,,,,,,,,,,,,,,,0,
GSE101491,200101491,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip;,Activity of afatinib in a window pre-operative EORTC study in patients with squamous cell carcinoma of the head and neck (HNSCC),Afatinib is a pan-HER inhibitor that improved progression-free-survival (PFS) in recurrent HNSCC versus methotrexate: median PFS 2.6 versus 1.7 months (LUX H&N 1 trial). This study is a translational research linked to  EORTC 90111  afatinib trial an open-label randomized multicenter phase II window of opportunity trial. Treatment-naïve HNSCC patients selected for primary curative surgery were randomized (5:1 ratio) to receive Afatinib during 14 days (day -15 until day -1) before surgery (day 0) or no treatment. Tumour biopsies FDG/PET and MRI were performed at diagnosis and at surgery. The primary end point was metabolic FDG-PET/CT response defined according to EORTC guidelines.,Homo sapiens,Microarray,29346507,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101491,19,,,,,,,,,,,,,,,,,,0,
GSE136037,200136037,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip;,Gene-expression profiles of primary and metastatic lesions in head and neck squamous cell carcinoma,Head and neck squamous cell carcinoma (HNSCC) is a heterogeneous group of malignancies arising from different sites and the 8th most common type of cancer in the world.  While the advent of new techniques and multimodality therapy have improved prognosis of locally HNSCC the appearance of distant metastases (DM) remains a challenge both for prognosis and treatment. To date the genomic landscape of dissemination of HNSCC has to be further studied in order to predict whether a patient will develop distant metastases. Therefore knowing that the risk of disease spread to DM is directly correlated to initial staging it suggested the hypothesis that the development of DM could be linked to the biologic characteristics of the primary tumor.  The aim of our work is to compare gene expression profile of primary tumors of patients who develop and not develop DM. Additionally we studied the expression profile of matched  distant metastasis.,Homo sapiens,Microarray,32283719,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136037,72,,,,,,,,,,,,,,,,,,0,
GSE112026,200112026,Illumina HiSeq 2500 (Homo sapiens);,A Novel Functional Splice Variant of AKT3 Defined by Analysis of Alternative Splice Expression in HPV-Positive Oropharyngeal Cancers (RNA-Seq),The incidence of HPV-related oropharyngeal squamous cell carcinoma (OPSCC) has increased more than 200% in the past 20 years. Recent genetic sequencing efforts have elucidated relevant genes in head and neck cancer but HPV-related tumors have consistently shown few DNA mutations. In this study we sought to analyze alternative splicing events (ASE) that could alter gene function independent of mutations. To identify ASE unique to HPV-related tumors RNA sequencing was performed on 46 HPV-positive OPSCC and 25 normal tissue samples. A novel algorithm using outlier statistics on RNA-sequencing junction expression identified 109 splicing events which were confirmed in a validation set from The Cancer Genome Atlas.,Homo sapiens,RNA-Seq,31097695,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112026,76,Y,Y,,,,Y,,Y,Y,Y,,Y,Y,,,,,8,
GSE72536,200072536,Illumina HiSeq 2000 (Homo sapiens);,Gene expression analysis of TIL rich HPV driven head and neck tumours reveals a distinct B-cell signature when compared to HPV independent tumours.,Purpose: Human papilloma virus (HPV) associated head and neck squamous cell carcinoma (HNSCC) has a better prognosis than HPV(-) negative cancer. This may be due in part to the higher number of tumour infiltrating lymphocytes (TIL) in HPV(+) tumours. We used RNAseq to evaluate whether these differences in clinical behaviour could be explained simply by a numerical difference in TILs or whether there was a fundamental difference between TILs in these two settings. Patients and methods: Twenty-three consecutive HNSCC cases with high and moderate TIL density were subjected to RNAseq analysis.  Differentially expressed genes (DEG) between 10 HPV(+) and 13 HPV(-) tumours were identified with EdgeR. Immune subset analysis was performed using FAIME (Functional Analysis of Individual Microarray Expression) and Immune gene transcript count analysis. Results: 1634 genes were differentially expressed. There was a dominant immune signature in HPV(+) tumours. After normalizing expression profiles for numerical differences in T cells and B cells 437 significantly DEGs still remained. A B-cell associated signature emerged which segregated HPV(+) from HPV(-) cancers  and included CD200 STAG3 GGA2 SPIB and ADAM28. Differential expression of these genes was confirmed  by real-time quantitative PCR and immunohistochemistry. Conclusion: In our dataset the difference associated with T-cells between patients with HPV(+) and (-) HNSCC was predominantly numerical. However when TIL numbers are corrected a distinct differential B-cell signature was revealed.,Homo sapiens,RNA-Seq,27462861 30655616,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72536,23,,,,,,Y,Y,,,,,,Y,,Y,Y,Y,6,
E-MTAB-6448,568386,Illumina HiSeq 2500/Illumina HiSeq 4000,Whole exome sequencing and transcription profiling of a patient cohort of oral cavity squamous cell carcinomas,Oral cavity Squamous Cell Carcinoma (OCSCC) is a common form of head and neck cancer through the developed and developing world. However the etiology of OCSCC is still unclear. To explore whether smoking HPV and/or other underlying genetic and transcriptomic changes could be responsible for the oncogenesis events for OCSCC. A prospective observational study of fresh tissue biopsy from 45 participants with OCSCC collected from Brisbane Head and Neck Clinics between 2013 to 2015. Exploration of the genetic and transcriptomic landscape was performed using RNA sequencing and whole exome sequencing. Identification of HPV was to be performed using DNA PCR genotyping and RNA sequencing. Patient medical records were retrieved and the patient demographics were used to correlate with genomic and transcriptomics analyses including the location of the tumor within the oral cavity smoking and alcohol histories.,Homo sapiens,RNA-Seq,30308005,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6448,86,Y,,,,,,,,Y,,Y,Y,Y,,,Y,,6,
E-MTAB-5200,569157,Illumina HiSeq 2000/Illumina HiSeq 2500,The International Cancer Genome project: Pan-Cancer Analysis of Whole Genomes (PCAWG),"The Pan-Cancer Analysis of Whole Genomes (PCAWG) study is an international collaboration to identify common patterns of mutation in more than 2800 cancer whole genomes from the International Cancer Genome Consortium. Building upon previous work which examined cancer coding regions this project is exploring the nature and consequences of somatic and germline variations in both coding and non-coding regions with specific emphasis on cis-regulatory sites non-coding RNAs and large-scale structural alterations. Read more on the <a href=""https://dcc.icgc.org/pcawg"" target=""_blank"">project website</a>.<br></br>This is a subset featuring RNA-seq transcription profiling data of 27 cancer subtypes in 19 tissues. Some donors have matched normal tissue. As general reference a subset of normal tissue samples from the GTEx project were included in this experiment.",Homo sapiens,RNA-Seq,32025007,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5200,43,Y,,Y,Y,,,,,Y,,,,,,,Y,,5,
GSE74927,200074927,Illumina HiSeq 2000 (Homo sapiens);,Subtypes of HPV-positive head and neck cancers are associated with HPV characteristics copy number variations PIK3CA mutation and pathway signatures. [RNA-Seq],Purpose: There is substantial heterogeneity within the human papillomavirus (HPV) positive head and neck cancer (HNC) tumors that predispose them to different outcomes however this subgroup is poorly characterized due to various historical reasons.  Experimental Design: we perform unsupervised gene expression clustering on well-annotated HPV(+) HNC samples from two cohorts ( 84 total primary tumors) as well as 18 HPV(-) HNCs to discover subtypes and begin to characterize the differences between the subtypes in terms of their HPV characteristics pathway activity whole-genome somatic copy number variations and mutation frequencies. Results: We identified two distinctive HPV(+) subtypes by unsupervised clustering. Membership in the HPV(+) subtypes correlates with genic viral integration status E2/E4/E5 expression levels and the ratio of spliced to full length HPV oncogene E6. The subtypes also show differences in copy number alterations in particular the loss of chr16q and gain of chr3q PIK3CA mutation and in the expression of genes involved in several biological processes related to cancer including immune response oxidation-reduction process and keratinocyte and mesenchymal differentiation. Conclusion: Our characterization of two subtypes of HPV(+) tumors provides valuable molecular level information in relation to the alternative paths to tumor development and to that of HPV(-) HNCs. Together these results will shed light on stratifications of the HPV(+) HNCs and will help to guide personalized care for HPV(+) HNC patients.,Homo sapiens,RNA-Seq,27091409 30061624,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74927,36,,,,,Y,Y,Y,,Y,,,,,,,,,4,
GSE127165,200127165,Illumina HiSeq 4000 (Homo sapiens);,Whole transcriptome sequencing of 57 laryngeal squamous cell carcinoma and paired adjacent normal tissues,Laryngeal squamous cell carcinoma (LSCC) is a common form of head and neck cancer with poor prognosis. However the mechanism underlying the pathogenesis of LSCC remains unclear. We performed high throughout transcriptome sequencing to identify lncRNA and mRNA that associated with LSCC progression.Transcriptome sequencing were performed on a cohort of LSCC tissues (57 samples) and paired adjacent normal mucosa tissues (57 samples).,Homo sapiens,RNA-Seq,32487167,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127165,114,,Y,,,Y,,,,,Y,,,,,Y,,,4,
ORCA-IN,ORCA-IN,Illumina HiSeq 2000 (Homo sapiens);,Mutational landscape of gingivo-buccal oral squamous cell carcinoma reveals new recurrently-mutated genes and molecular subgroups,Mutational landscape of gingivo-buccal oral squamous cell carcinoma reveals new recurrently-mutated genes and molecular subgroups,Homo sapiens,RNA-Seq,24292195,https://ega-archive.org/studies/EGAS00001000249,40,Y,Y,Y,Y,,,,,,Y,,Y,Y,,,,,7,
CPTAC,CPTAC,Illumina HiSeq 4000 (Homo sapiens);,The National Cancer Institute's Clinical Proteomic Tumor Analysis Consortium (CPTAC),CPTAC,Homo sapiens,RNA-Seq,,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001287.v9.p5,109,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,14,rsem
hnsc_tcga_pan_can_atlas_2018,hnsc_tcga_pan_can_atlas_2018,Illumina HiSeq_RNASeqV2,Head and Neck Squamous Cell Carcinoma in TCGA - PanCancer Atlas,Head and Neck Squamous Cell Carcinoma TCGA PanCancer data. ,Homo sapiens,RNA-Seq,29625048 29596782 29622463 29617662 29625055 29625050 29617662 30643250,https://www.cbioportal.org/study/summary?id=hnsc_tcga_pan_can_atlas_2018,523,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,17,rsem
